"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"ESP127","1996.0","01/02/1996 09:00:00","12/31/1996 08:00:00","","","","","","","","","","",""
"SPD111","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","4.311","4.889","0.928","1.479","2.384","1.619","0.651","0.098","0.047","0.084",""
"PRK134","1988.0","12/29/1987 09:00:00","01/03/1989 08:00:00","","","","","","","","","","",""
"CVL151","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","2.941","4.531","0.722","1.924","2.616","1.465","0.203","0.231","0.047","0.1",""
"WST109","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","1.155","1.804","0.191","0.564","0.746","0.573","0.046","0.091","0.015","0.04","0.058"
"PET427","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.391","0.675","0.271","0.73","0.989","0.244","0.217","0.077","0.028","0.03","0.036"
"SPD111","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","7.013","6.154","0.757","1.753","2.482","1.985","","","","",""
"VPI120","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","8.687","6.374","0.433","2.896","3.283","1.509","","","","",""
"GRB411","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.154","0.541","0.167","0.279","0.442","0.188","0.255","0.069","0.03","0.029","0.046"
"ABT147","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","5.128","3.321","0.889","2.152","3.007","1.208","0.117","0.274","0.041","0.051",""
"CAD150","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.625","1.518","0.378","0.586","0.954","0.449","0.196","0.185","0.042","0.092","0.068"
"QAK172","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","1.24","1.388","0.913","0.885","1.784","0.612","0.334","0.075","0.065","0.064","0.054"
"ALH157","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.704","1.232","1.316","0.777","2.08","0.626","0.549","0.074","0.068","0.081","0.063"
"NCS415","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","0.219","0.703","0.151","0.235","0.382","0.217","0.034","0.105","0.018","0.037",""
"QAK172","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.877","1.096","0.727","0.761","1.477","0.499","0.256","0.054","0.053","0.06","0.042"
"COW137","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","1.208","3.722","0.156","0.725","0.87","1.186","0.09","0.095","0.025","0.123","0.038"
"COW137","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.487","1.977","0.173","0.383","0.55","0.654","0.067","0.065","0.018","0.084","0.036"
"BUF603","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.373","0.465","0.154","0.482","0.629","0.202","0.126","0.019","0.018","0.036","0.014"
"BVL130","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.924","1.412","1.525","0.969","2.479","0.787","0.425","0.059","0.067","0.064","0.061"
"LYK123","1995.0","01/03/1995 09:00:00","01/02/1996 08:00:00","","","","","","","","","","",""
"EGB181","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","4.081","2.91","2.166","1.213","3.36","1.304","","","","",""
"PAR107","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.651","1.22","0.473","0.485","0.951","0.431","0.321","0.06","0.032","0.085","0.043"
"CHE185","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"CHE185","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","1.036","2.064","1.11","1.006","2.1","0.778","0.504","0.168","0.058","0.098","0.066"
"MOR409","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","0.598","0.769","0.176","0.355","0.525","0.217","","","","",""
