"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"EGB181","1995.0","01/03/1995 09:00:00","01/02/1996 08:00:00","4.296","3.029","2.361","1.307","3.648","1.448","","","","",""
"NPT006","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.213","0.277","0.123","0.285","0.403","0.163","0.062","0.023","0.012","0.058","0.016"
"LRL117","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.711","2.288","0.562","0.794","1.344","0.864","0.165","0.084","0.025","0.054","0.05"
"PND165","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.383","0.458","0.139","0.347","0.48","0.177","","","","",""
"PET427","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.195","0.468","0.251","0.542","0.784","0.173","0.201","0.079","0.028","0.037","0.036"
"UND002","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.242","0.61","0.39","0.376","0.76","0.262","0.134","0.083","0.026","0.039","0.066"
"ANL146","1989.0","01/03/1989 09:00:00","01/02/1990 08:00:00","18.155","6.269","4.018","2.35","6.33","2.933","0.936","0.234","0.346","0.26",""
"CON186","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.392","1.1","1.353","2.393","3.708","0.556","0.209","0.142","0.039","0.047","0.023"
"LYK123","1994.0","01/04/1994 09:00:00","01/03/1995 08:00:00","11.233","5.631","2.552","2.662","5.172","2.335","","","","",""
"VOY413","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.397","0.933","0.436","0.352","0.783","0.396","0.164","0.045","0.037","0.042","0.026"
"SUM156","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","2.478","4.976","0.458","1.253","1.692","0.903","","","","",""
"PND165","1993.0","12/29/1992 09:00:00","01/04/1994 08:00:00","0.414","0.571","0.12","0.295","0.41","0.203","","","","",""
"COW137","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","1.793","4.821","0.138","0.875","0.998","1.184","","","","",""
"CND125","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"VPI120","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","5.504","2.892","0.359","1.296","1.634","0.936","0.23","0.067","0.044","0.061","0.034"
"CDZ171","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","1.676","1.95","0.803","0.959","1.747","0.739","0.288","0.111","0.04","0.073","0.052"
"GRC474","1989.0","01/03/1989 09:00:00","01/02/1990 08:00:00","","","","","","","","","","",""
"GAS153","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.381","1.0","0.448","0.635","1.073","0.352","0.114","0.191","0.037","0.087","0.094"
"ACA416","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.826","1.368","0.383","0.424","0.8","0.358","0.056","0.34","0.046","0.078","0.255"
"ROM206","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.214","0.33","0.155","0.319","0.469","0.138","0.095","0.025","0.013","0.021","0.015"
"COW137","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","1.223","3.498","0.132","0.682","0.804","1.066","0.091","0.067","0.023","0.065","0.035"
"LYK123","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","6.86","4.128","2.561","1.771","4.304","1.846","0.484","0.109","0.095","0.07","0.101"
"MEV405","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.162","0.383","0.155","0.432","0.58","0.144","0.139","0.043","0.02","0.023","0.019"
"BBE401","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.601","1.571","0.48","0.532","1.004","0.476","0.574","0.156","0.047","0.058","0.038"
"GTH161","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.183","0.46","0.137","0.217","0.351","0.167","","","","",""
"NEC602","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.26","0.529","0.258","0.431","0.682","0.2","0.431","0.045","0.026","0.042","0.032"
"GRB411","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.134","0.357","0.163","0.261","0.419","0.131","0.411","0.087","0.039","0.042","0.075"
"CAD150","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.436","1.258","0.387","0.56","0.938","0.383","0.166","0.157","0.039","0.084","0.048"
"DCP114","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","12.64","6.694","1.645","2.846","4.446","2.431","","","","",""
"CON186","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.32","1.009","1.186","1.928","3.083","0.441","0.225","0.205","0.048","0.054","0.032"
"VIN140","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","6.74","4.539","2.311","1.497","3.785","1.611","1.695","0.119","0.104","0.105","0.076"
"PAL190","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.728","1.089","0.827","0.665","1.481","0.443","0.743","0.086","0.056","0.088","0.025"
"PND165","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.191","0.422","0.176","0.248","0.42","0.177","0.139","0.042","0.02","0.033","0.027"
"DEN417","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.455","0.593","0.067","0.091","0.156","0.148","0.03","0.057","0.013","0.024","0.052"
"SHN418","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","6.02","4.578","0.538","2.146","2.65","1.485","0.173","0.071","0.032","0.054","0.032"
"PAL190","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.823","1.439","0.894","0.741","1.623","0.543","0.85","0.115","0.075","0.103","0.035"
"MEV405","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.292","0.602","0.225","0.68","0.894","0.225","0.252","0.049","0.029","0.03","0.025"
"WSP144","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","8.018","4.209","1.19","2.587","3.736","1.537","0.21","0.246","0.059","0.073",""
"NIC001","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.241","0.704","0.312","0.27","0.578","0.281","0.083","0.043","0.014","0.046","0.023"
"VIN140","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","19.804","6.923","2.149","2.42","4.53","2.371","","","","",""
"UMA009","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"PIN414","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"KEF112","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","15.05","5.578","0.371","2.26","2.595","1.429","","","","",""
"BBE401","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","0.733","2.128","0.355","0.6","0.945","0.627","0.331","0.136","0.032","0.047","0.02"
"BEL116","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","9.626","4.874","1.042","2.107","3.115","1.727","0.229","0.216","0.052","0.073","0.106"
"NIC001","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","","","","","","","","","","",""
"ARE128","1991.0","01/01/1991 09:00:00","12/31/1991 08:00:00","14.329","6.847","1.356","3.53","4.83","2.464","","","","",""
"SEK402","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","0.903","1.162","1.602","1.583","3.159","0.796","0.172","0.15","0.04","0.085",""
"YEL408","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","0.713","0.419","0.124","0.198","0.319","0.185","","","","",""
"SAV164","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","0.28","0.475","0.221","0.392","0.607","0.192","","","","",""
"YOS404","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.296","0.648","0.317","0.546","0.854","0.257","0.089","0.101","0.023","0.037","0.024"
"HWF187","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.538","0.95","0.236","0.309","0.54","0.358","0.068","0.064","0.017","0.035","0.049"
"OXF122","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","10.715","5.092","2.106","2.358","4.448","2.151","0.366","0.135","0.072","0.083",""
"PSU106","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","9.379","4.772","1.168","2.179","3.313","1.868","0.264","0.093","0.039","0.068",""
"ROM406","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.132","0.326","0.207","0.336","0.538","0.144","0.121","0.031","0.018","0.033","0.017"
"LRL117","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","9.328","4.643","0.374","1.293","1.646","1.356","0.174","0.059","0.027","0.053","0.038"
"QAK172","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","13.252","4.992","1.009","2.184","3.158","1.606","0.435","0.108","0.083","0.073","0.059"
"CDR119","1993.0","12/29/1992 09:00:00","01/04/1994 08:00:00","10.861","6.551","0.225","1.541","1.742","1.622","","","","",""
"SPD111","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.734","2.129","0.419","0.81","1.217","0.728","0.359","0.068","0.055","0.074","0.041"
"NCS415","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","0.254","0.639","0.142","0.334","0.47","0.208","0.031","0.095","0.016","0.036",""
"ESP127","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","5.305","5.113","0.31","2.045","2.323","1.602","","","","",""
"NIC001","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","","","","","","","","","","",""
"KIC003","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"CDR119","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","2.668","3.23","0.256","0.818","1.06","1.062","0.236","0.053","0.032","0.085","0.037"
"VOY413","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.162","0.446","0.317","0.194","0.51","0.215","0.115","0.027","0.03","0.034","0.022"
"MEV405","1996.0","01/02/1996 09:00:00","12/31/1996 08:00:00","1.017","0.743","0.223","0.736","0.948","0.252","","","","",""
"YOS404","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"CVL151","1992.0","12/31/1991 09:00:00","12/29/1992 08:00:00","","","","","","","","","","",""
"CDZ171","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.754","1.33","0.895","0.824","1.706","0.592","0.245","0.09","0.036","0.074","0.036"
"PSU106","1993.0","12/29/1992 09:00:00","01/04/1994 08:00:00","14.598","5.745","1.265","2.566","3.79","2.145","","","","",""
"BWR139","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","8.3","5.289","1.191","2.708","3.848","1.822","","","","",""
"HVT424","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","23.594","2.045","0.124","0.101","0.224","0.136","0.038","0.457","0.058","0.041",""
"CNT169","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.21","0.32","0.112","0.239","0.347","0.137","0.077","0.02","0.012","0.023","0.012"
"YOS404","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.367","0.579","0.549","0.537","1.078","0.333","0.229","0.095","0.04","0.122","0.035"
"PET427","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.396","0.596","0.227","0.569","0.787","0.208","0.162","0.07","0.022","0.026","0.028"
"GLR468","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","0.429","0.631","0.252","0.293","0.54","0.245","0.16","0.05","0.033","0.064","0.019"
"WSP144","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"ASH235","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","","","","","","","","","","",""
"ASH135","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","1.05","1.378","0.262","0.339","0.595","0.409","0.13","0.088","0.026","0.132",""
"COW137","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","1.438","4.22","0.127","0.848","0.962","1.175","","","","",""
"LRL117","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.837","1.287","0.506","0.573","1.07","0.512","0.174","0.065","0.023","0.052","0.046"
"RTP101","1989.0","01/03/1989 09:00:00","01/02/1990 08:00:00","","","","","","","","","","",""
"CHE185","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","1.648","3.303","1.573","1.45","3.0","1.367","0.399","0.136","0.045","0.094",""
"BVL130","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","1.502","1.677","1.562","0.946","2.493","0.848","0.489","0.085","0.083","0.066","0.081"
"BFT142","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","3.287","4.295","1.111","1.163","2.256","1.004","0.393","1.014","0.143","0.092","0.82"
"CNT169","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.357","0.474","0.133","0.388","0.515","0.174","","","","",""
"STK138","1994.0","01/04/1994 09:00:00","01/03/1995 08:00:00","5.359","3.377","3.565","1.429","4.971","2.013","","","","",""
"LYK123","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","8.123","4.232","2.564","2.557","5.093","1.811","","","","",""
"BVL130","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","5.623","3.558","2.383","1.751","4.106","1.65","0.451","0.095","0.078","0.073","0.078"
"GRS420","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.284","0.957","0.289","0.728","1.005","0.306","0.148","0.096","0.032","0.053","0.03"
"UVL124","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","3.231","2.452","1.704","1.171","2.857","1.155","0.344","0.061","0.065","0.062","0.063"
"ANA115","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","1.915","2.268","1.359","1.238","2.577","1.061","0.281","0.087","0.068","0.073","0.071"
"MCK131","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.547","1.24","0.95","0.81","1.747","0.614","0.213","0.078","0.036","0.08","0.044"
"WNC429","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","0.499","0.785","0.266","0.483","0.741","0.29","0.229","0.03","0.025","0.049","0.023"
"WNC429","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.308","0.505","0.215","0.5","0.707","0.21","0.314","0.023","0.03","0.039","0.016"
"CAN407","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.25","0.391","0.21","0.505","0.707","0.148","0.21","0.056","0.026","0.033","0.03"
"PAR107","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","4.861","4.335","0.405","0.989","1.379","1.218","0.408","0.06","0.039","0.098","0.042"
"WNC429","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","","","","","","","","","","",""
"HWF187","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","0.437","1.259","0.173","0.268","0.436","0.451","0.064","0.044","0.015","0.049","0.039"
"GRC474","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","0.435","0.685","0.222","0.668","0.879","0.242","","","","",""
"OXF122","2021.0","12/29/2020 09:00:00","01/04/2022 08:00:00","0.822","1.244","1.193","0.853","2.032","0.639","0.31","0.088","0.058","0.081","0.065"
"MCK231","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","8.221","5.276","1.103","2.804","3.863","1.862","","","","",""
"THR422","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","1.188","1.077","0.564","0.581","1.135","0.445","0.208","0.059","0.036","0.04","0.02"
"BFT142","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","1.498","2.703","1.066","0.518","1.576","0.604","0.313","1.147","0.156","0.119","1.217"
"VIN140","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","1.452","1.563","1.315","0.854","2.155","0.691","1.032","0.089","0.073","0.083","0.064"
"PSU106","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","4.638","2.807","1.083","1.038","2.104","1.212","0.28","0.091","0.043","0.071","0.072"
"SND152","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","5.552","5.284","1.779","1.818","3.569","2.348","","","","",""
"HVT424","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","22.15","1.863","0.093","0.087","0.179","0.113","0.04","0.448","0.056","0.03",""
"BFT142","1993.0","12/29/1992 09:00:00","01/04/1994 08:00:00","","","","","","","","","","",""
"GAS153","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","5.545","4.548","0.325","1.811","2.107","1.347","0.161","0.193","0.047","0.086","0.046"
"ARE128","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","7.454","3.814","1.399","1.795","3.165","1.577","0.221","0.148","0.043","0.068","0.079"
"PIN414","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","0.382","1.086","1.166","1.196","2.343","0.284","0.139","0.54","0.085","0.065",""
"GAS153","1996.0","01/02/1996 09:00:00","12/31/1996 08:00:00","","","","","","","","","","",""
"HOW132","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.35","0.832","0.223","0.277","0.495","0.296","0.043","0.13","0.02","0.038","0.081"
"MCK131","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","6.964","5.17","1.474","2.404","3.84","2.043","0.292","0.12","0.044","0.073",""
"THR422","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","1.326","1.259","0.718","0.607","1.315","0.546","0.262","0.08","0.04","0.04",""
"MKG113","1988.0","12/29/1987 09:00:00","01/03/1989 08:00:00","17.283","6.69","0.92","2.815","3.709","","","","","",""
"ARE128","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.723","1.217","1.173","0.84","2.0","0.678","0.185","0.119","0.035","0.065","0.088"
"DIN431","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.384","0.462","0.712","0.394","1.1","0.32","0.242","0.054","0.036","0.032","0.027"
"HOX148","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.84","1.423","0.834","0.526","1.352","0.696","0.144","0.046","0.036","0.048","0.044"
"RTP101","1987.0","01/01/1987 00:00:00","12/29/1987 08:00:00","","","","","","","","","","",""
"GTH161","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","0.183","0.545","0.115","0.239","0.348","0.192","","","","",""
"PND165","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.267","0.351","0.126","0.235","0.357","0.146","0.1","0.036","0.015","0.021","0.018"
"HOW191","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.556","0.75","0.228","0.254","0.479","0.265","0.045","0.13","0.021","0.036","0.09"
"JOT403","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","0.601","1.03","0.947","2.317","3.228","0.384","0.323","0.199","0.059","0.072","0.035"
"SAV164","1992.0","12/31/1991 09:00:00","12/29/1992 08:00:00","0.194","0.554","0.27","0.396","0.662","0.218","","","","",""
"SHE604","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","","","","","","","","","","",""
"VPI120","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.494","0.999","0.451","0.63","1.071","0.386","0.16","0.087","0.031","0.052","0.044"
"CKT136","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","7.07","5.091","0.661","2.518","3.138","1.503","0.266","0.105","0.04","0.068",""
"COW137","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","1.508","4.511","0.13","0.905","1.02","1.256","","","","",""
"KEF112","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.984","2.011","0.559","0.774","1.32","0.769","0.135","0.083","0.028","0.045","0.042"
"PIN414","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","0.419","1.072","0.949","1.05","1.983","0.266","","","","",""
"CHA467","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","0.517","0.972","0.353","0.586","0.929","0.329","0.285","0.131","0.041","0.057","0.066"
"VPI120","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.501","0.976","0.363","0.636","0.988","0.367","0.151","0.077","0.031","0.047","0.048"
"LYK123","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","4.872","3.246","2.192","1.599","3.765","1.55","0.395","0.114","0.085","0.075","0.099"
"ALH157","1992.0","12/31/1991 09:00:00","12/29/1992 08:00:00","11.254","5.318","2.593","2.084","4.644","2.403","","","","",""
"PNF126","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.256","0.823","0.332","0.413","0.738","0.321","0.107","0.071","0.024","0.053","0.039"
"GLR468","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.493","0.671","0.221","0.296","0.513","0.251","0.117","0.037","0.025","0.05","0.016"
"QAK172","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","3.899","2.537","0.833","1.301","2.114","0.945","0.373","0.065","0.069","0.059","0.043"
"SEK402","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","","","","","","","","","","",""
"CDZ171","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","5.142","4.271","0.99","1.672","2.635","1.522","0.308","0.12","0.047","0.082","0.046"
"THR422","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","1.366","1.147","0.603","0.627","1.22","0.475","0.244","0.056","0.04","0.044",""
"EGB181","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.761","0.925","1.131","0.556","1.678","0.497","0.399","0.092","0.054","0.051","0.105"
"NEC602","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","","","","","","","","","","",""
"ABT147","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","3.689","2.894","0.834","1.592","2.4","1.024","0.087","0.286","0.04","0.052","0.152"
"ACA416","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","0.685","1.179","0.412","0.41","0.815","0.336","0.053","0.42","0.054","0.049","0.396"
"MCK231","2021.0","12/29/2020 09:00:00","01/04/2022 08:00:00","0.533","1.221","0.768","0.878","1.632","0.544","0.261","0.083","0.042","0.088","0.048"
"WFM105","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","3.877","3.113","0.231","1.438","1.647","0.876","","","","",""
"CND125","1991.0","01/01/1991 09:00:00","12/31/1991 08:00:00","4.692","5.172","0.605","1.974","2.548","1.687","","","","",""
"PSU106","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"COW137","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"WST109","1995.0","01/03/1995 09:00:00","01/02/1996 08:00:00","1.339","1.975","0.17","0.785","0.943","0.6","","","","",""
"BVL130","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","5.172","4.01","2.963","1.985","4.933","2.046","0.455","0.12","0.08","0.07",""
"NEC602","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.467","0.646","0.259","0.525","0.776","0.248","0.346","0.036","0.023","0.029","0.028"
"YEL408","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.594","0.25","0.111","0.139","0.248","0.113","0.073","0.018","0.011","0.023","0.014"
"YEL408","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","0.773","0.461","0.148","0.217","0.361","0.183","0.076","0.018","0.015","0.026","0.014"
"CNT169","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","0.29","0.476","0.108","0.382","0.484","0.171","0.074","0.017","0.013","0.019","0.012"
"CAN407","2021.0","12/29/2020 09:00:00","01/04/2022 08:00:00","0.141","0.387","0.226","0.475","0.693","0.142","0.358","0.074","0.041","0.06","0.046"
"CAT175","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.34","0.725","0.458","0.535","0.985","0.348","0.099","0.071","0.022","0.038","0.056"
"HOW132","1992.0","12/31/1991 09:00:00","12/29/1992 08:00:00","","","","","","","","","","",""
"MCK231","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","8.353","5.679","0.997","3.022","3.97","2.005","","","","",""
"IRL141","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.944","1.904","1.342","0.275","1.612","0.334","0.317","2.791","0.356","0.173","4.555"
"CAN407","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","0.448","0.721","0.228","0.892","1.106","0.253","0.162","0.054","0.025","0.049","0.024"
"RED004","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.258","0.576","0.707","0.28","0.982","0.339","0.231","0.049","0.057","0.045","0.049"
"CTH110","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","7.229","3.469","0.898","2.229","3.091","1.326","0.191","0.098","0.032","0.045",""
"BBE401","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.567","1.577","0.395","0.48","0.868","0.473","0.469","0.14","0.037","0.051","0.036"
"RCK263","1991.0","01/01/1991 09:00:00","12/31/1991 08:00:00","0.281","0.619","0.533","0.331","0.858","0.341","","","","",""
"CON186","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","0.21","0.715","0.861","1.506","2.343","0.301","0.156","0.179","0.039","0.048","0.044"
"PNF126","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","3.565","4.427","0.227","1.779","1.978","1.1","","","","",""
"BEL116","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","8.979","5.073","0.904","2.273","3.141","1.794","0.232","0.195","0.05","0.07",""
"GRC474","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.262","0.449","0.24","0.376","0.611","0.156","0.18","0.082","0.026","0.028","0.038"
"PSU106","1988.0","12/29/1987 09:00:00","01/03/1989 08:00:00","16.738","6.583","1.476","2.806","4.237","","","","","",""
"PRK134","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","1.279","1.694","1.659","0.565","2.214","0.984","0.208","0.081","0.049","0.058","0.091"
"EVE419","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","0.851","2.706","1.225","0.513","1.73","0.373","0.374","1.506","0.214","0.151","1.871"
"CVL151","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","1.473","2.976","0.522","0.982","1.489","0.949","0.178","0.196","0.044","0.097","0.059"
"ACA416","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.646","0.84","0.352","0.342","0.689","0.243","0.059","0.326","0.044","0.042","0.312"
"SUM156","1992.0","12/31/1991 09:00:00","12/29/1992 08:00:00","2.054","4.149","0.413","1.046","1.442","0.869","","","","",""
"ROM406","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","0.465","0.641","0.223","0.612","0.825","0.255","0.111","0.027","0.013","0.025",""
"ASH135","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","1.113","1.498","0.25","0.307","0.553","0.391","","","","",""
"PNF126","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","2.713","4.203","0.185","1.352","1.515","1.21","0.121","0.059","0.024","0.048","0.032"
"ESP127","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"BEL116","1989.0","01/03/1989 09:00:00","01/02/1990 08:00:00","16.557","7.642","1.629","2.842","4.408","2.983","0.261","0.206","0.069","",""
"THR422","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","0.989","1.07","0.664","0.553","1.208","0.478","0.259","0.038","0.041","0.042","0.019"
"LAV410","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"ESP127","2002.0","01/01/2002 09:00:00","12/31/2002 08:00:00","3.103","4.24","0.446","1.748","2.167","1.427","0.192","0.113","0.031","0.076",""
"PSU106","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","2.717","2.391","1.299","0.926","2.211","1.103","0.256","0.135","0.041","0.062","0.101"
"ABT147","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.844","1.441","0.73","0.85","1.566","0.548","0.086","0.295","0.041","0.059","0.203"
